Função Hash,Percentual colisão encadeamento,Percentual colisão endereçamento aberto,Tamanho,Alfa,Tempo Construção Encadeamento,Número Comparações Construção Encadeamento,Tempo Construção Endereçamento Aberto,Número Comparações Construção Endereçamento Aberto,Tempo Consulta Encadeamento,Número Comparações Consulta Encadeamento,Tempo Consulta Endereçamento Aberto,Número Comparações Consulta Endereçamento Aberto,Número de Hits Encadeamento,Número de Hits Endereçamento Aberto
mod_quarter_tam,0.504,0.504,500,0.5,0.0006377696990966,308,0.0004434585571289,308,0.0004329681396484,735,0.0429425239562988,108212,392,392
mod_quarter_tam,0.5146666666666667,0.5146666666666667,750,0.5,0.0011119842529296,468,0.0007424354553222,468,0.0007197856903076,1056,0.104311466217041,373772,501,501
mod_quarter_tam,0.509,0.509,1000,0.5,0.0016319751739501,622,0.0009980201721191,622,0.000673770904541,1451,0.1391706466674804,488408,756,756
mod_quarter_tam,0.5086666666666667,0.5086666666666667,1500,0.5,0.0013399124145507,926,0.0009210109710693,926,0.0008847713470458,2177,0.3037962913513183,1239591,1087,1087
mod_quarter_tam,0.51,0.51,2000,0.5,0.002331256866455,1259,0.0012838840484619,1259,0.0017049312591552,2993,0.3602604866027832,1448945,1638,1638
mod_quarter_tam,0.5103333333333333,0.5103333333333333,3000,0.5,0.0051586627960205,1888,0.0032660961151123,1888,0.0039060115814208,4580,0.7926867008209229,3109500,2482,2482
mod_quarter_tam,0.76,0.76,50,1.0,3.4332275390625e-05,81,4.887580871582031e-05,121,2.3365020751953125e-05,147,0.0002191066741943,799,36,36
mod_quarter_tam,0.75,0.75,100,1.0,5.984306335449219e-05,160,9.822845458984376e-05,274,4.267692565917969e-05,261,0.0006213188171386,2597,76,76
mod_quarter_tam,0.75,0.75,200,1.0,0.000340461730957,319,0.0006899833679199,1260,0.0002582073211669,519,0.0039365291595458,7544,167,167
mod_quarter_tam,0.75,0.75,300,1.0,0.000342845916748,473,0.0011553764343261,2146,0.0004322528839111,823,0.0130600929260253,24116,225,225
mod_quarter_tam,0.75,0.75,500,1.0,0.0004582405090332,796,0.0018486976623535,7838,0.0002803802490234,1352,0.0263874530792236,58715,392,392
mod_quarter_tam,0.7506666666666667,0.7506666666666667,750,1.0,0.0011918544769287,1198,0.0058956146240234,10681,0.0011487007141113,2081,0.0971541404724121,191811,501,501
mod_quarter_tam,0.75,0.753,1000,1.0,0.0012402534484863,1595,0.0058348178863525,16536,0.0010762214660644,2718,0.1001391410827636,254482,756,756
mod_quarter_tam,0.75,0.75,1500,1.0,0.0011413097381591,2387,0.0077629089355468,32574,0.0021197795867919,4133,0.1522259712219238,642580,1087,1087
mod_quarter_tam,0.75,0.751,2000,1.0,0.0016250610351562,3196,0.0198068618774414,67580,0.0022339820861816,5344,0.183816909790039,775064,1638,1638
mod_quarter_tam,0.75,0.7513333333333333,3000,1.0,0.0022926330566406,4807,0.039794921875,161232,0.0019283294677734,8144,0.405015230178833,1690077,2482,2482
constant,0.98,0.98,50,0.5,5.8650970458984375e-05,1225,0.0003032684326171,1225,0.0001826286315917,1614,0.0004458427429199,2279,36,36
constant,0.99,0.99,100,0.5,9.250640869140624e-05,4950,0.0009522438049316,4950,0.0004215240478515,6163,0.0019512176513671,8488,76,76
constant,0.995,0.995,200,0.5,0.0002198219299316,19900,0.0053660869598388,19900,0.002934455871582,22921,0.011322021484375,29355,167,167
constant,0.9966666666666668,0.9966666666666668,300,0.5,0.0004260540008544,44850,0.0124166011810302,44850,0.0069689750671386,56854,0.02109956741333,79130,225,225
constant,0.998,0.998,500,0.5,0.0004470348358154,124750,0.034423828125,124750,0.0110652446746826,153223,0.0473048686981201,206832,392,392
constant,0.9986666666666668,0.9986666666666668,750,0.5,0.0008628368377685,280875,0.0471518039703369,280875,0.0254535675048828,374577,0.1284277439117431,560827,501,501
constant,0.999,0.999,1000,0.5,0.0013234615325927,499500,0.0918335914611816,499500,0.0385351181030273,622918,0.1921668052673339,866163,756,756
constant,0.9993333333333332,0.9993333333333332,1500,0.5,0.0014500617980957,1124250,0.1949036121368408,1124250,0.0921494960784912,1441968,0.477269172668457,2060382,1087,1087
constant,0.9995,0.9995,2000,0.5,0.0018756389617919,1999000,0.3343560695648193,1999000,0.1431427001953125,2350135,0.7502830028533936,3072498,1638,1638
constant,0.9996666666666668,0.9996666666666668,3000,0.5,0.0022544860839843,4498500,0.7669525146484375,4498500,0.3290870189666748,5330636,1.6057827472686768,6882155,2482,2482
